Data of census 2001 of Pune Municipal Corporation Published by CENSUS OF INDIA ,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Area of town/ward in  -243.049.sq km,Column22,Column23
Name of Town/Ward,No of House Holds,Total Population (includin instituional) and Houseless Population,,,Scheduled Castes,,,Schedules Tribes,,,Literates,,,illiterates,,,Total Population in the age group (0-6),,,Ward office name,Ward Name in English,Ward Name in Marathi,
,,Population,Male,Female,Population,Male,Female,Population,Male,Female,Population,Male,Female,Population,Male,Female,Population,Male,Female,,,,
Pmc,555771,2538473,1321338,1217135,298841,152258,146583,24442,12840,11602,1930063,1064508,865555,608410,256830,351580,302960,158672,144288,,,,
 Ward No.1 ,5510,22980,12076,10904,4250,2188,2062,282,139,143,17142,9509,7633,5838,2567,3271,2665,1347,1318,Aundh , Aundh ITI,Aundh ,औध आ टी आय ओैंध,
 Ward No.2,3845,18220,9783,8437,1842,997,845,511,264,247,15072,8453,6619,3148,1330,1818,1795,987,808,Aundh , AundhGaon,Aundh ,औध गांव, ओैंध,
 Ward No.3 ,3549,16500,8421,8079,3058,1565,1493,175,97,78,13528,7229,6299,2972,1192,1780,1695,903,792,Aundh ,Anandnagar ,Bopodi,Aundh फ,आनंदनगर, बोपोडी,ओैंध,
 Ward No.4 ,3409,16266,8189,8077,2912,1439,1473,330,167,163,12609,6877,5732,3657,1312,2345,1810,911,899,Aundh ,Bopodi Gaothan,Aundh ,बोपोडी, गांवठांण,ओैंध,
 Ward No.5 ,749,3081,1628,1453,365,198,167,44,22,22,2100,1179,921,981,449,532,524,280,244,Aundh ,Vir Bhagatsingh Vidhyalaya,Aundh ,विरभगतसिंग विद्यालय.ओैंध,
 Ward No.6 ,2733,10722,5904,4818,550,274,276,77,41,36,8687,4985,3702,2035,919,1116,1433,741,692,Aundh ,Dapodi,Aundh ,दोपोडी.ओैंध,
 Ward No.7,1813,9216,4665,4551,1817,935,882,94,48,46,6776,3696,3080,2440,969,1471,1138,584,554,Aundh ,C.M.E,Bopodi,Aundh ,सी.एम.र्इ बोपोडी.ओैंध,
 Ward No.8 ,2863,13127,6871,6256,2848,1445,1403,118,59,59,10311,5786,4525,2816,1085,1731,1507,757,750,Yerwada,Siddharth Davakhana,Yerawada,सिध्दार्थ दवाखाना. येरवडा,
 Ward No.9 ,4330,19315,9820,9495,2722,1376,1346,228,119,109,13765,7497,6268,5550,2323,3227,2576,1349,1227,Yerwada,Husensaha Babanagar,Yerawada,हुसेनशहा बाबानगर.येरवडा,
 Ward No.10 ,2598,15326,7826,7500,3273,1663,1610,270,136,134,11406,6132,5274,3920,1694,2226,1509,796,713,Yerwada,Fulenagar,Yerawada,फुलेनगर.येरवडा,
 Ward No.11 ,4435,21572,12213,9359,4173,2154,2019,259,142,117,16869,10260,6609,4703,1953,2750,2486,1320,1166,Yerwada,Don Bosco Highschool,Yerawada,डॉन बॉस्को हायस्कूल.येरवडा,
 Ward No.12 ,4214,19022,9706,9316,2182,1078,1104,217,101,116,15889,8433,7456,3133,1273,1860,1975,1057,918,Yerwada, Maharashtra Housing Board ,Yerawada,महाराष्ट्र हौसिंग बोर्ड.येरवडा,
 Ward No.13 ,4079,22280,13090,9190,3609,1848,1761,242,141,101,15764,9450,6314,6516,3640,2876,2552,1374,1178,Yerwada, Prizem Press,Yerawada,प्रिझम प्रेस.येरवडा,
 Ward No.14 ,5009,21941,11437,10504,4910,2492,2418,134,81,53,15086,8444,6642,6855,2993,3862,3039,1587,1452,Yerwada, Lohagaon Vimantal,Yerwada,लोहगांव विमानतळ.येरवडा,
 Ward No.15,2762,11784,6300,5484,648,320,328,53,30,23,9684,5334,4350,2100,966,1134,1225,675,550,Yerwada,Kasturba Smark,Yerwada,कस्तुरबा स्मारक.येरवडा,
Ward No.16,3415,15474,8023,7451,2781,1423,1358,161,97,64,11307,6244,5063,4167,1779,2388,1678,850,828,Dholepatil,Koregaon Park,Dholepatilroad,कोरेगांव पार्क. ढोलेपाटील,
Ward No.17,3077,14164,7347,6817,1562,782,780,104,56,48,10548,5850,4698,3616,1497,2119,1782,939,843,Hadapsar,Mundhava,Hadapsar,मूंढवा. हडपसर,
 Ward No.18,3641,17164,8959,8205,2311,1190,1121,41,24,17,12435,7032,5403,4729,1927,2802,2093,1105,988,Dholepatil,VikasNagar Dholepatilroad,विकासनगर.ढोलेपाटील,
 Ward No.19,4488,21478,11332,10146,4704,2415,2289,158,86,72,14921,8625,6296,6557,2707,3850,2900,1513,1387,Hadapsar,Magarpatta,Hadapsar,मगरपट्टा. हडपसर,
 Ward No.20,4956,21845,11411,10434,3132,1645,1487,277,150,127,16309,9106,7203,5536,2305,3231,2781,1464,1317,Hadapsar,Sadhana vidhyalaya,Hadapsar,साधना विद्यालय.हडपसर,
 Ward No.21,4551,20580,10625,9955,2046,1062,984,82,42,40,15807,8612,7195,4773,2013,2760,2474,1342,1132,Hadapsar,Hadapsar Gaon,हडपसर गांव,
 Ward No.22,4757,21877,11477,10400,3060,1570,1490,300,157,143,14189,8288,5901,7688,3189,4499,3363,1734,1629,Hadapsar,Vaiduwadi Hadapsar,वैदवाडी.हडपसर,
 Ward No.23,4237,20007,10223,9784,6202,3186,3016,98,43,55,12747,7185,5562,7260,3038,4222,2822,1455,1367,Hadapsar,Ramtekdi,Hadapsar,रामटेकडी.हडपसर,
 Ward No.24,3578,16304,8517,7787,1686,856,830,356,184,172,13426,7283,6143,2878,1234,1644,1755,935,820,Hadapsar,Wanwadi Gaon,Hadapsar,वानवडी गांव.हडपसर,
